region,lat,long,node_id
PGE,45.54179246433814,-122.69518591481926,ESUB_LNODEWR4
PGE,45.541869999928714,-122.69524982981484,ESUB_LNODEWR5
CA,34.0881991507282,-117.52558266,ETIWANDA_2_N006
CA,34.075283,-117.51711666,ETIWANDA_6_GN001
CA,34.08066,-117.52069366,ETIWANDA_6_GN003
CA,34.0883812512724,-117.52557402372247,ETIWANDA_6_N001
CA,34.088117924622956,-117.52552537450832,ETIWANDA_6_N003
CA,34.0882007486314,-117.52557402395476,ETIWANDA_6_N004
CA,34.0882007486314,-117.52579197604527,ETIWANDA_6_N006
CA,34.0883812512724,-117.52579197627766,ETIWANDA_6_N008
CA,34.07872699998798,-117.51668452232897,ETIWANDA_6_N011
CA,34.128745,-117.42300366,ETIWANDA_6_N015
CA,34.070765,-117.51255566,ETIWANDA_6_N016
CA,34.07872699998798,-117.51679347767117,ETIWANDA_6_N018
CA,34.05099999998795,-117.59005444719487,ETIWANDA_6_N019
CA,34.088117924622956,-117.5256386254917,ETWPKGEN_7_B1
CA,40.793883999984665,-124.18290627263765,EUREKAA_6_N001
CA,40.793883999984665,-124.18302572736236,EUREKA_6_N001
CA,37.303338999986465,-121.84081023756397,EVRGREEN_1_N001
CA,37.303338999986465,-121.84092376243609,EVRGREEN_1_N019
CA,37.59,-120.2966,EXCHQUER_7_B1
CA,38.08077268899996,-122.13762073271586,EXXONBH_7_B2
CA,38.08095331088854,-122.13762073299925,EXXONBH_7_N001
CA,40.80027999998463,-124.1956542665485,FAIRHAVN_6_N001
CA,40.80027999998463,-124.19577373345153,FAIRHAVN_7_B1
CA,34.91059499998762,-120.44635292480474,FAIRWAY_1_N001
CA,34.91059499998762,-120.44646307519525,FAIRWAY_1_N002
CA,35.60500099998741,-119.20248280260236,FAMOSO_1_N001
CA,35.60500099998741,-119.20259319739766,FAMOSO_6_N008
CA,33.85654399998807,-116.49686777574072,FARREL_1_N001
CA,33.85654399998807,-116.49697622425927,FARREL_1_N002
LADWP,34.03809021316632,-118.37089113436087,FAR_SUB_LNODEONA
LADWP,34.0379097867377,-118.37089113459244,FAR_SUB_LNODEONB
LADWP,34.0379097867377,-118.37110886540755,FAR_SUB_LNODEONC
LADWP,34.03809021316632,-118.37110886563913,FAR_SUB_LNODEOND
CA,37.747357,-121.59825266,FAYETTE_1_B1
